date,cases,deaths
24/12/2020,1581,2
25/12/2020,1247,3
26/12/2020,2335,2
27/12/2020,1196,1
28/12/2020,1594,3
29/12/2020,1925,2
30/12/2020,1870,6
31/12/2020,2525,8
1/1/2021,2068,3
2/1/2021,2295,9
3/1/2021,1704,11
4/1/2021,1741,7
5/1/2021,2027,8
6/1/2021,2593,4
7/1/2021,3027,8
8/1/2021,2643,16
9/1/2021,2451,5
10/1/2021,2433,9
11/1/2021,2232,4
12/1/2021,3309,4
13/1/2021,2985,4
14/1/2021,3337,15
15/1/2021,3211,8
,,
,,
,,
,,
,,
,,
,,
